Trees;Instances;Features;Max;Avg
1;120;8;73.7037;71
1;120;9;71.8519;67.6667
1;125;2;67.037;65.6667
1;125;3;72.963;67
1;125;4;70;65.3333
1;125;5;76.2963;61.6667
1;125;6;70.3704;65.6667
1;125;7;66.2963;59.3333
1;125;8;75.5556;67
1;125;9;77.037;72.3333
1;130;2;70.3704;66
1;130;3;71.1111;64.6667
1;130;4;70;66.3333
1;130;5;70;65
1;130;6;63.7037;61.6667
1;130;7;70;69
1;130;8;72.963;67
1;130;9;67.037;62.6667
1;135;2;77.037;69.6667
1;135;3;75.5556;71.3333
1;135;4;71.1111;66
1;135;5;68.8889;65.3333
1;135;6;75.1852;72
1;135;7;73.3333;68
1;135;8;72.963;67
1;135;9;75.5556;66.6667
1;140;2;64.8148;59.6667
1;140;3;73.7037;69.6667
1;140;4;74.8148;65.6667
1;140;5;77.7778;73.6667
1;140;6;69.6296;64.3333
1;140;7;75.1852;65
1;140;8;75.9259;67.6667
1;140;9;77.4074;69
1;145;2;70;65.6667
1;145;3;72.963;67.3333
1;145;4;70;66.6667
1;145;5;72.2222;67.6667
1;145;6;74.8148;70
1;145;7;64.8148;58.6667
1;145;8;77.037;69.3333
1;145;9;70.7407;63.3333
1;150;2;75.5556;72
1;150;3;74.4444;67.6667
1;150;4;74.8148;66.6667
1;150;5;75.5556;71.6667
1;150;6;75.9259;70.6667
1;150;7;66.2963;63.6667
1;150;8;72.2222;67.6667
1;150;9;69.2593;66
1;155;2;68.1481;64
1;155;3;71.4815;62.6667
1;155;4;74.0741;68.6667
1;155;5;71.8519;64
1;155;6;72.2222;67
1;155;7;69.2593;65
1;155;8;71.1111;67.3333
1;155;9;68.1481;60.3333
1;160;2;71.4815;65.3333
1;160;3;71.4815;70
1;160;4;70.7407;66.3333
1;160;5;73.7037;67.6667
1;160;6;76.2963;68.6667
1;160;7;73.7037;71
1;160;8;72.5926;68
1;160;9;68.1481;66.3333
1;165;2;70.7407;67.3333
1;165;3;67.7778;63
1;165;4;68.5185;61
1;165;5;74.4444;69.6667
1;165;6;76.6667;74
1;165;7;72.2222;63.6667
1;165;8;70.3704;68.6667
1;165;9;72.2222;67
1;170;2;76.6667;67
1;170;3;78.8889;74
1;170;4;75.9259;68.6667
1;170;5;71.1111;68.3333
1;170;6;76.2963;74.3333
1;170;7;78.1481;69.3333
1;170;8;73.7037;67.3333
1;170;9;70.7407;68.3333
1;175;2;73.3333;64.3333
1;175;3;67.4074;65
1;175;4;72.5926;70
1;175;5;78.8889;71.6667
1;175;6;67.7778;66.3333
1;175;7;77.4074;73.6667
1;175;8;76.6667;63
1;175;9;75.5556;68
1;180;2;67.7778;65.3333
1;180;3;70.7407;66
1;180;4;67.4074;66.6667
1;180;5;78.1481;68.3333
1;180;6;77.037;70
1;180;7;73.7037;69
1;180;8;75.5556;69.3333
1;180;9;77.037;71.3333
1;185;2;72.2222;70.6667
1;185;3;71.1111;66
1;185;4;78.1481;68
1;185;5;70.3704;65.3333
1;185;6;66.2963;64.3333
1;185;7;78.5185;65.6667
1;185;8;71.4815;69.6667
1;185;9;71.1111;68.6667
1;190;2;72.963;64.6667
1;190;3;75.1852;73.3333
1;190;4;75.1852;66
1;190;5;71.1111;66
1;190;6;70.3704;65
1;190;7;70.7407;68
1;190;8;76.6667;65
1;190;9;71.1111;59.6667
1;195;2;68.5185;62
1;195;3;71.8519;65.6667
1;195;4;77.4074;74
1;195;5;75.5556;70.6667
1;195;6;76.6667;71.6667
1;195;7;76.6667;70.6667
1;195;8;72.5926;68.3333
1;195;9;77.7778;71
1;200;2;74.4444;69.3333
